Date,Text Date,State,Deaths,Deaths in Month,% Change
4/1/2020,2020 Mar,California,212,212,--
5/1/2020,2020 Apr,California,2147,1935,812.7358491
6/1/2020,2020 May,California,4287,2140,10.59431525
7/1/2020,2020 Jun,California,6168,1881,-12.10280374
8/1/2020,2020 Jul,California,9365,3197,69.96278575
9/1/2020,2020 Aug,California,13149,3784,18.3609634
10/1/2020,2020 Sep,California,15989,2840,-24.94714588
11/1/2020,2020 Oct,California,17671,1682,-40.77464789
12/1/2020,2020 Nov,California,19327,1656,-1.545778835
1/1/2021,2020 Dec,California,26236,6909,317.2101449
2/1/2021,2021 Jan,California,41284,15048,117.8028658
3/1/2021,2021 Feb,California,52487,11203,-25.55156831
4/1/2021,2021 Mar,California,59396,6909,-38.32901901
5/1/2021,2021 Apr,California,61853,2457,-64.43768997
6/1/2021,2021 May,California,63260,1407,-42.73504274
7/1/2021,2021 Jun,California,63709,449,-68.08813077
8/1/2021,2021 Jul,California,64417,708,57.68374165
9/1/2021,2021 Aug,California,65987,1570,121.7514124
10/1/2021,2021 Sep,California,69387,3400,116.5605096
11/1/2021,2021 Oct,California,72289,2902,-14.64705882
12/1/2021,2021 Nov,California,74781,2492,-14.12818746
1/1/2022,2021 Dec,California,76709,1928,-22.63242376
2/1/2022,2022 Jan,California,80434,3725,93.20539419
3/1/2022,2022 Feb,California,85682,5248,40.88590604
4/1/2022,2022 Mar,California,89076,3394,-35.3277439
5/1/2022,2022 Apr,California,90422,1346,-60.34177961
6/1/2022,2022 May,California,91552,1130,-16.04754829
7/1/2022,2022 Jun,California,92541,989,-12.47787611
8/1/2022,2022 Jul,California,93651,1110,12.23458038
9/1/2022,2022 Aug,California,95017,1366,23.06306306
10/1/2022,2022 Sep,California,96020,1003,-26.57393851
11/1/2022,2022 Oct,California,96966,946,-5.682951147
12/1/2022,2022 Nov,California,99913,2947,211.5221987
1/1/2023,2022 Dec,California,100865,952,-67.695962
2/1/2023,2023 Jan,California,102368,1503,57.87815126
3/1/2023,2023 Feb,California,103582,1214,-19.22821025
