Date,State,Cases,Deaths,Fips
2/1/2020,Illinois,2,0,17
3/1/2020,Illinois,3,0,17
4/1/2020,Illinois,6978,146,17
5/1/2020,Illinois,56055,2464,17
6/1/2020,Illinois,121666,5458,17
7/1/2020,Illinois,145541,7160,17
8/1/2020,Illinois,182232,7707,17
9/1/2020,Illinois,239115,8299,17
10/1/2020,Illinois,299111,8956,17
11/1/2020,Illinois,424860,10091,17
12/1/2020,Illinois,740510,13175,17
1/1/2021,Illinois,966287,17979,17
2/1/2021,Illinois,1131212,21273,17
3/1/2021,Illinois,1191207,22759,17
4/1/2021,Illinois,1251829,23601,17
5/1/2021,Illinois,1341493,24330,17
6/1/2021,Illinois,1386620,25233,17
7/1/2021,Illinois,1396270,25687,17
8/1/2021,Illinois,1423590,25916,17
9/1/2021,Illinois,1532494,26535,17
10/1/2021,Illinois,1635964,27714,17
11/1/2021,Illinois,1706985,28695,17
12/1/2021,Illinois,1821286,29432,17
1/1/2022,Illinois,2154058,31017,17
2/1/2022,Illinois,2934402,34853,17
3/1/2022,Illinois,3038507,36953,17
4/1/2022,Illinois,3075243,37684,17
5/1/2022,Illinois,3144347,37898,17
6/1/2022,Illinois,3312546,38161,17
7/1/2022,Illinois,3441474,38601,17
8/1/2022,Illinois,3580187,38888,17
9/1/2022,Illinois,3698673,39351,17
10/1/2022,Illinois,3768893,39698,17
11/1/2022,Illinois,3823381,40022,17
12/1/2022,Illinois,3888967,40325,17
1/1/2023,Illinois,3976840,40678,17
2/1/2023,Illinois,4026996,41088,17
3/1/2023,Illinois,4069468,41379,17
