Date,Text_Date,State,Deaths,Deaths_in_Month,Percent_Change
4/1/2020,2020 Mar,Illinois,146,146,--
5/1/2020,2020 Apr,Illinois,2464,2318,1487.671233
6/1/2020,2020 May,Illinois,5458,2994,29.16307161
7/1/2020,2020 Jun,Illinois,7160,1702,-43.15297261
8/1/2020,2020 Jul,Illinois,7707,547,-67.8613396
9/1/2020,2020 Aug,Illinois,8299,592,8.226691042
10/1/2020,2020 Sep,Illinois,8956,657,10.97972973
11/1/2020,2020 Oct,Illinois,10091,1135,72.75494673
12/1/2020,2020 Nov,Illinois,13175,3084,171.7180617
1/1/2021,2020 Dec,Illinois,17979,4804,55.77172503
