Date,State,Cases,Deaths,Fips
3/1/2020,New York,1,0,36
4/1/2020,New York,84364,2415,36
5/1/2020,New York,313575,23841,36
6/1/2020,New York,376520,29766,36
7/1/2020,New York,398770,31791,36
8/1/2020,New York,420477,32390,36
9/1/2020,New York,440237,32551,36
10/1/2020,New York,464752,32768,36
11/1/2020,New York,514482,33174,36
12/1/2020,New York,660041,34222,36
1/1/2021,New York,996073,37733,36
2/1/2021,New York,1429096,43354,36
3/1/2021,New York,1650560,47247,36
4/1/2021,New York,1880768,49872,36
5/1/2021,New York,2050174,51791,36
6/1/2021,New York,2101111,52784,36
7/1/2021,New York,2113544,53107,36
8/1/2021,New York,2151035,53274,36
9/1/2021,New York,2280354,53875,36
10/1/2021,New York,2430353,54976,36
11/1/2021,New York,2563625,56044,36
12/1/2021,New York,2737932,57107,36
1/1/2022,New York,3555047,59072,36
2/1/2022,New York,4796000,64461,36
3/1/2022,New York,4909771,66791,36
4/1/2022,New York,4982764,67330,36
5/1/2022,New York,5154714,67694,36
6/1/2022,New York,5433881,68383,36
7/1/2022,New York,5604401,69011,36
8/1/2022,New York,5821036,69628,36
9/1/2022,New York,5981489,70441,36
10/1/2022,New York,6111750,71097,36
11/1/2022,New York,6244198,72437,36
12/1/2022,New York,6380036,76759,36
1/1/2023,New York,6566031,77722,36
2/1/2023,New York,6710087,78874,36
3/1/2023,New York,6777357,79643,36
