Date,State,Cases,Deaths,Fips
4/1/2020,Pennsylvania,5805,78,42
5/1/2020,Pennsylvania,49764,2671,42
6/1/2020,Pennsylvania,76734,5574,42
7/1/2020,Pennsylvania,91864,6704,42
8/1/2020,Pennsylvania,117468,7270,42
9/1/2020,Pennsylvania,139591,7764,42
10/1/2020,Pennsylvania,165078,8234,42
11/1/2020,Pennsylvania,214500,8888,42
12/1/2020,Pennsylvania,372688,10614,42
1/1/2021,Pennsylvania,652952,16247,42
2/1/2021,Pennsylvania,851911,21741,42
3/1/2021,Pennsylvania,938308,24065,42
4/1/2021,Pennsylvania,1034263,25179,42
5/1/2021,Pennsylvania,1158964,26307,42
6/1/2021,Pennsylvania,1207596,27270,42
7/1/2021,Pennsylvania,1216965,27684,42
8/1/2021,Pennsylvania,1230824,27855,42
9/1/2021,Pennsylvania,1303699,28235,42
10/1/2021,Pennsylvania,1435292,29437,42
11/1/2021,Pennsylvania,1564939,31454,42
12/1/2021,Pennsylvania,1744526,33521,42
1/1/2022,Pennsylvania,2059613,36714,42
2/1/2022,Pennsylvania,2667166,40836,42
3/1/2022,Pennsylvania,2758482,43332,42
4/1/2022,Pennsylvania,2782174,44295,42
5/1/2022,Pennsylvania,2821667,44678,42
6/1/2022,Pennsylvania,2932186,45254,42
7/1/2022,Pennsylvania,3006257,45766,42
8/1/2022,Pennsylvania,3090149,46205,42
9/1/2022,Pennsylvania,3185902,46716,42
10/1/2022,Pennsylvania,3254503,47213,42
11/1/2022,Pennsylvania,3305389,47705,42
12/1/2022,Pennsylvania,3360797,48467,42
1/1/2023,Pennsylvania,3416142,48972,42
2/1/2023,Pennsylvania,3479345,49866,42
3/1/2023,Pennsylvania,3520813,50360,42
