Date,Text_Date,State,Deaths,Deaths_in_Month,Percent_Change
4/1/2020,2020 Mar,Texas,65,65,--
5/1/2020,2020 Apr,Texas,853,788,1112.307692
6/1/2020,2020 May,Texas,1695,842,6.852791878
7/1/2020,2020 Jun,Texas,2518,823,-2.256532067
8/1/2020,2020 Jul,Texas,7477,4959,502.5516403
9/1/2020,2020 Aug,Texas,13004,5527,11.45392216
10/1/2020,2020 Sep,Texas,16220,3216,-41.8129184
11/1/2020,2020 Oct,Texas,18582,2362,-26.55472637
12/1/2020,2020 Nov,Texas,22204,3622,53.3446232
1/1/2021,2020 Dec,Texas,28434,6230,72.00441745
2/1/2021,2021 Jan,Texas,37405,8971,43.99678973
3/1/2021,2021 Feb,Texas,44078,6673,-25.61587337
4/1/2021,2021 Mar,Texas,48654,4576,-31.42514611
5/1/2021,2021 Apr,Texas,50458,1804,-60.57692308
6/1/2021,2021 May,Texas,51689,1231,-31.76274945
7/1/2021,2021 Jun,Texas,52554,865,-29.73192526
8/1/2021,2021 Jul,Texas,53420,866,0.1156069364
9/1/2021,2021 Aug,Texas,57533,4113,374.9422633
10/1/2021,2021 Sep,Texas,65858,8325,102.4070022
11/1/2021,2021 Oct,Texas,71587,5729,-31.18318318
12/1/2021,2021 Nov,Texas,74244,2657,-53.62192355
1/1/2022,2021 Dec,Texas,76062,1818,-31.5769665
2/1/2022,2022 Jan,Texas,79934,3872,112.9812981
3/1/2022,2022 Feb,Texas,85143,5209,34.52995868
4/1/2022,2022 Mar,Texas,87549,2406,-53.81071223
5/1/2022,2022 Apr,Texas,88305,756,-68.57855362
6/1/2022,2022 May,Texas,88572,267,-64.68253968
7/1/2022,2022 Jun,Texas,88923,351,31.46067416
8/1/2022,2022 Jul,Texas,89517,594,69.23076923
9/1/2022,2022 Aug,Texas,90413,896,50.84175084
10/1/2022,2022 Sep,Texas,91016,603,-32.70089286
11/1/2022,2022 Oct,Texas,91326,310,-48.59038143
12/1/2022,2022 Nov,Texas,92327,1001,222.9032258
1/1/2023,2022 Dec,Texas,92709,382,-61.83816184
2/1/2023,2023 Jan,Texas,93481,772,102.0942408
3/1/2023,2023 Feb,Texas,94141,660,-14.50777202
